Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Maurice Evans,,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,
Lionel Hollins,92.5,5.2,4.0,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,
Greg Buckner,92.3,4.8,3.8,3.1,2.3,2.2,2.0,1.8,0.3,0.3,0.1,
Herm Gilliam,91.0,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,,,
Anthony Morrow,90.2,5.7,3.5,3.0,3.0,2.4,1.9,1.7,0.7,,,
Carlos Arroyo,90.2,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,,
Carlos Delfino,89.7,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,,
Jim Price,89.5,5.0,3.7,2.7,2.6,2.4,1.8,1.5,,,,
Randy Foye,89.3,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,
Johnny Egan,88.4,5.1,3.6,3.2,3.1,3.1,2.0,1.4,1.3,0.5,0.5,0.0
Eric Gordon,88.2,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7,,,
