Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Aaron McKie,,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,2.0,1.6,1.4,0.1,0.1
Spud Webb,92.3,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3.0,2.3,2.2,1.2,-0.1,
Jason Williams,92.0,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9,0.2,
Al Attles,90.9,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,,
Johnny Davis,90.5,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,,,
John Paxson,88.9,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,,
Luke Ridnour,88.7,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9,0.6,0.1,
Jameer Nelson,88.7,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4,0.5,
Lou Williams,87.1,6.6,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1,,
J.R. Smith,86.6,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2,
Jarrett Jack,86.3,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,,
