Value Over Replacement Player
1998-99 NBA 4.1 (1st)
2000-01 NBA 5.3 (10th)
2001-02 NBA 5.4 (10th)
2002-03 NBA 6.7 (5th)
2008-09 NBA 4.7 (8th)
2009-10 NBA 4.6 (8th)
Career NBA 78.2 (10th)
Career 78.2 (11th)
