Assists Per Game
1994-95 NBA 7.7 (10th)
1995-96 NBA 9.7 (2nd)
1996-97 NBA 9.0 (4th)
1997-98 NBA 9.1 (2nd)
1998-99 NBA 10.8 (1st)
1999-00 NBA 10.1 (1st)
2000-01 NBA 9.8 (1st)
2001-02 NBA 9.9 (2nd)
2002-03 NBA 8.9 (1st)
2003-04 NBA 9.2 (1st)
2004-05 NBA 8.3 (3rd)
2005-06 NBA 8.4 (5th)
2006-07 NBA 9.2 (3rd)
2007-08 NBA 10.1 (4th)
2008-09 NBA 8.7 (5th)
2009-10 NBA 9.1 (5th)
2010-11 NBA 8.2 (8th)
Career NBA 8.7 (8th)
Career 8.7 (8th)
