Defensive Win Shares
1999-00 NBA 4.8 (7th)
2000-01 NBA 5.4 (7th)
2001-02 NBA 5.8 (3rd)
2002-03 NBA 5.8 (3rd)
2005-06 NBA 5.6 (5th)
Career NBA 75.1 (11th)
Career 75.1 (12th)
