Weekly Awards
"Mar 19, 1995 Player of the Week"
"Feb 4, 1996 Player of the Week"
"Mar 15, 1998 Player of the Week"
"Apr 19, 1998 Player of the Week"
"Apr 18, 1999 Player of the Week"
"Dec 19, 1999 Player of the Week"
"Apr 1, 2001 Player of the Week"
"Dec 30, 2001 Player of the Week"
"Feb 3, 2002 Player of the Week"
"Mar 24, 2002 Player of the Week"
"Dec 22, 2002 Player of the Week"
"Apr 6, 2003 Player of the Week"
"Dec 28, 2003 Player of the Week"
"Feb 1, 2004 Player of the Week"
"Apr 17, 2005 Player of the Week"
"Mar 18, 2007 Player of the Week"
"Apr 5, 2009 Player of the Week"
