Steals Per Game
1994-95 NBA 1.9 (7th)
1995-96 NBA 2.2 (4th)
1997-98 NBA 2.0 (7th)
1998-99 NBA 2.3 (4th)
1999-00 NBA 2.0 (5th)
2000-01 NBA 2.2 (4th)
2001-02 NBA 2.1 (3rd)
2002-03 NBA 2.2 (5th)
2005-06 NBA 1.9 (8th)
2008-09 NBA 2.0 (3rd)
2009-10 NBA 1.8 (5th)
2010-11 NBA 1.7 (7th)
Career NBA 1.9 (18th)
Career 1.9 (22nd)
