Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kevin Martin,,10.2,9.5,8.4,7.0,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1,,,
Billy Knight,90.6,10.7,8.4,8.3,7.1,6.0,5.8,5.8,4.3,3.7,3.4,0.4,,,,
Fat Lever,90.5,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0.0,,,,
Ron Boone,90.3,9.7,8.3,8.1,6.2,5.9,5.9,5.1,4.0,2.8,2.6,1.0,0.4,-0.6,,
Larry Costello,90.1,9.2,8.6,8.5,8.0,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2,,,
Doug Christie,90.0,8.9,8.7,8.6,7.0,5.7,5.1,4.2,4.0,1.4,1.4,0.9,0.1,0.1,-0.1,-0.3
Jeff Mullins,89.7,10.0,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3,,,
Jose Calderon,89.5,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4.0,3.7,0.9,0.9,,,,
Baron Davis,88.0,8.9,8.7,8.2,7.5,6.4,4.5,4.5,4.4,4.4,2.8,2.1,0.6,0.2,,
Carl Braun,87.7,9.0,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3.0,0.5,0.4,,
Archie Clark,87.3,11.4,11.0,8.1,7.9,6.2,6.2,5.6,4.0,2.7,1.7,,,,,
