Player,Sim,1,2,3,4,5,6,7,8,9
Alec Burks,,3.2,1.7,1.5,1.5,1.0,,,,
Al Ferrari,92.7,3.3,1.9,1.4,1.4,0.9,0.0,,,
Quinton Ross,83.6,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,,
Bucky Bockhorn,82.2,3.1,1.5,1.3,1.1,0.5,0.3,0.1,,
Ronald Murray,81.7,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,
George Dempsey,80.9,3.5,2.2,2.1,1.5,1.4,,,,
Mike Evans,80.3,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Larry Wright,79.9,3.5,2.7,1.8,1.4,1.2,0.0,,,
Rick Adelman,79.4,3.4,2.2,1.6,1.3,0.7,0.7,0.1,,
Jerry Reynolds,78.3,3.7,1.6,1.3,1.3,1.0,0.9,0.6,0.0,
Greg Minor,78.3,3.0,2.1,1.7,0.8,0.6,,,,
