Player,Sim,1,2,3,4,5,6,7
DeMar DeRozan,,9.9,8.8,4.7,4.0,3.2,2.5,2.3
Sam Cassell,89.9,9.2,8.3,4.7,3.9,3.9,2.2,0.8
Derek Anderson,89.3,9.9,8.1,5.3,5.3,3.6,3.3,2.1
Warren Jabali,87.4,10.7,7.3,5.8,3.5,3.2,2.6,2.1
Flynn Robinson,86.6,9.3,6.7,4.9,3.6,3.3,2.2,1.3
Kenny Smith,86.2,9.0,8.2,6.1,5.1,4.1,2.6,2.2
Kendall Gill,86.0,8.8,6.7,4.7,4.6,3.2,2.9,1.8
Paul Seymour,85.7,9.3,8.7,6.7,3.8,3.2,1.8,0.4
Dick Snyder,85.7,10.0,8.0,6.2,4.1,3.7,1.8,0.6
Stu Lantz,85.6,10.5,7.4,4.7,3.4,2.4,1.7,1.4
Chuck Williams,85.6,10.0,6.1,4.7,3.8,3.2,3.0,0.6
