Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,24,TOR,NBA,SG,1,0,14:52,4,7,.571,0,1,.000,0,0,,1,3,2,0,0,0,0,8
2015-16,26,TOR,NBA,SG,1,0,18:54,9,15,.600,0,3,.000,0,1,.000,1,1,2,1,0,1,0,18
2016-17,27,TOR,,SG,,0,,,,,,,,,,,,,,,,,,
