Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
DeMar DeRozan,,9.9,8.8,4.7,4.0,3.2,2.5,2.3,,,,,
Warren Jabali,87.4,10.7,7.3,5.8,3.5,3.2,2.6,2.1,,,,,
Paul Seymour,86.8,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
Chuck Williams,86.0,10.0,6.1,4.7,3.8,3.2,3.0,1.3,0.6,,,,
Flynn Robinson,84.2,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,,,,
Stu Lantz,83.5,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1.0,,,,
Kyle Macy,81.6,9.2,6.4,5.0,4.6,4.5,3.9,2.4,,,,,
Scott Skiles,81.3,8.0,7.0,4.5,4.4,3.2,2.0,1.3,0.3,0.1,-0.2,,
Micheal Ray Richardson,81.2,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,,
Glen Combs,80.3,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,,,
Derek Anderson,79.7,9.9,8.1,5.3,5.3,3.6,3.3,2.9,2.1,1.6,1.3,0.3,
