Season,Team,Lg,Salary
2009-10,Toronto Raptors,NBA,"$2,282,640"
2010-11,Toronto Raptors,NBA,"$2,453,880"
2011-12,Toronto Raptors,NBA,"$2,625,000"
2012-13,Toronto Raptors,NBA,"$3,344,250"
2013-14,Toronto Raptors,NBA,"$9,500,000"
2014-15,Toronto Raptors,NBA,"$9,500,000"
2015-16,Toronto Raptors,NBA,"$9,500,000"
