Player,Sim,1,2,3,4,5,6,7,8,9
Speedy Claxton,,4.2,3.7,3.0,2.8,1.2,0.0,-0.7,,
Eric Money,87.3,4.2,3.6,3.3,2.7,0.6,0.3,,,
Bradley Beal,85.9,4.0,3.7,3.0,2.7,,,,,
Jim McElroy,85.4,4.9,3.5,2.9,2.6,0.8,0.3,-0.9,,
T.J. Ford,82.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,
Whitey Skoog,82.3,4.1,3.6,2.9,1.9,1.0,0.7,,,
Adrian Griffin,81.1,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0.0
Daniel Gibson,79.8,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,
Charlie Bell,79.8,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,
Greivis Vasquez,79.7,3.8,3.6,2.8,2.3,0.5,-0.3,,,
Al Wood,79.0,4.4,4.2,2.5,2.3,1.0,0.9,,,
