Player,Sim,1,2,3,4,5,6,7,8,9,10
Marquis Daniels,,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1
Frank Johnson,88.7,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
John Battle,88.6,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2
Dudley Bradley,88.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,
Shaun Livingston,86.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Jim King,85.2,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
Wali Jones,85.0,4.0,4.0,2.5,1.3,1.2,1.1,0.8,0.5,0.3,0.3
Tony Delk,84.1,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4
Doug West,83.3,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.4,0.1,-0.1
John Bagley,83.2,4.6,3.0,2.6,2.6,1.9,1.1,0.9,0.4,-0.2,-0.3
Fred Carter,83.0,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,,
