Player,Sim,1,2,3,4,5,6,7,8,9,10
Lee Nailon,,3.5,2.2,0.9,0.7,0.5,0.3,,,,
Mark Strickland,85.0,2.8,2.2,1.0,0.6,0.5,0.0,0.0,0.0,,
Darko Milicic,83.0,3.3,1.9,1.2,0.7,0.2,0.2,0.0,-0.1,-0.2,-0.2
Mark Alarie,82.6,3.1,2.2,1.5,0.9,0.6,,,,,
James Singleton,82.3,3.0,2.3,1.1,1.0,0.7,,,,,
Ira Newble,81.3,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1,,
Darren Daye,80.7,3.8,2.4,1.3,1.2,0.6,,,,,
Barney Cable,80.1,3.3,1.6,0.7,0.4,0.3,0.1,,,,
Lorenzo Williams,80.0,3.1,1.7,1.1,0.4,0.4,0.3,0.3,,,
Lou Amundson,79.4,2.9,1.8,1.0,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Joey Graham,78.6,3.0,2.2,1.3,1.1,0.3,0.0,,,,
