Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Tony Delk,,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4,,,
Doug West,91.1,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1,
Eddie House,86.0,4.9,3.9,2.2,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4,,
Howard Eisley,85.1,4.5,4.4,3.0,2.9,1.7,1.3,1.2,1.0,0.3,0.0,-0.3,-0.5,
Marquis Daniels,84.1,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1,,,
Shaun Livingston,82.4,4.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1,,
Tom Henderson,82.3,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,,,,
Keyon Dooling,81.9,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0.0
Bob Warren,81.9,4.9,4.8,4.0,2.3,1.6,1.6,0.9,0.6,,,,,
Fred Jones,81.7,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,,,,,
Devean George,80.7,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3,,
