Player,Sim,1,2,3,4,5,6,7,8,9
Nick Young,,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1
Anthony Bowie,86.3,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5,
J.J. Barea,86.0,3.2,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1
Shaun Livingston,84.4,4.4,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Robert Pack,83.4,3.1,2.7,2.2,1.7,1.1,1.1,0.7,0.4,-0.6
Marko Jaric,83.2,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,
C.J. Miles,81.0,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.3,-0.5
Dudley Bradley,80.5,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0
Clint Richardson,80.3,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,
Quintin Dailey,80.1,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3
Jim King,80.1,3.7,3.5,2.5,2.3,1.5,1.3,1.1,0.4,-0.1
