Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2006-07,22,CHI,NBA,SG,71,868,3%,58%,38%,1%,,+5.6,+0.3,29,14,17,46,,4,,133,19,5,11
2007-08,23,CHI,NBA,SG,69,1436,3%,60%,36%,1%,,-2.1,+1.6,35,26,32,67,,11,,306,41,8,23
2008-09,24,TOT,NBA,SF-SG,66,1453,1%,58%,39%,3%,,-4.4,-1.1,27,21,16,0,,0,,248,0,5,21
2008-09,24,CHI,NBA,SF,43,735,,25%,69%,5%,,-3.0,-3.5,19,10,8,23,,5,,147,10,2,16
2008-09,24,OKC,NBA,SG,23,718,1%,91%,8%,,,-5.7,+1.3,8,11,8,28,,2,,101,18,3,5
2009-10,25,OKC,NBA,SG,82,2348,1%,98%,1%,,,+2.3,-4.8,44,28,18,84,,5,,314,38,11,29
2010-11,26,OKC,NBA,SG,79,2049,,95%,5%,,,+2.9,-2.7,24,15,16,79,,12,,237,37,7,22
2011-12,27,OKC,NBA,SG,42,914,,95%,4%,,,+7.5,+1.0,16,9,15,40,,9,,105,22,5,18
2012-13,28,OKC,NBA,SG,81,2229,,97%,3%,,,+11.7,+4.6,30,15,19,64,,11,5,276,31,4,22
2013-14,29,OKC,NBA,SG,61,1584,,82%,18%,,,+3.9,-4.7,23,17,15,41,1,7,3,207,24,3,20
2014-15,30,ATL,NBA,SF,52,976,,25%,74%,1%,,+11.4,+7.5,13,17,9,28,2,4,2,181,26,5,16
2015-16,31,ATL,NBA,SF,75,1758,,,96%,4%,,+2.5,-2.0,23,30,15,41,2,5,10,252,42,12,26
2016-17,32,ATL,NBA,SF,44,1137,,,82%,18%,,+0.9,+3.3,7,28,7,37,0,2,1,166,24,2,16
