Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
C.J. Watson,,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.6,0.4,,,,
Darrell Griffith,91.2,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0.0,,,
Calbert Cheaney,88.3,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,0.3,0.0,-0.1
Maurice Evans,87.0,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,,,
Henry Bibby,86.4,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,,,
Mike Glenn,86.2,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,,,
Rex Chapman,85.6,4.5,4.2,3.9,3.3,3.0,2.5,1.9,1.4,0.9,0.1,-0.2,-0.7,
Carlos Delfino,85.5,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,,,,
Lionel Hollins,85.5,5.2,4.0,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,,,
Randy Foye,84.8,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,,,
Johnny Egan,84.2,5.1,3.6,3.2,3.1,3.1,2.0,1.4,1.3,0.5,0.5,0.0,,
