Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,27,MEM,NBA,C,1,0,13:32,2,5,.400,0,0,,0,0,,1,3,0,0,0,1,2,4
2014-15,30,MEM,NBA,C,1,1,24:55,3,6,.500,0,1,.000,0,0,,2,10,2,2,0,1,1,6
2016-17,32,MEM,,C,,0,,,,,,,,,,,,,,,,,,
