Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Marc Gasol,,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7,,,,,
Mel Daniels,91.0,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0,,,,
Brad Daugherty,88.8,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,,,,,
Joakim Noah,88.7,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,1.1,,,,
Swen Nater,85.5,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
Dave Robisch,85.4,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1
Yao Ming,84.6,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,,,,,
Clifford Ray,83.0,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,,
Clyde Lovellette,82.4,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,
Jim Eakins,80.7,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,,
Tom Owens,80.7,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,
