Defensive Box Plus/Minus
2010-11 NBA 3.4 (7th)
2011-12 NBA 3.6 (6th)
2012-13 NBA 4.4 (3rd)
2013-14 NBA 2.9 (9th)
2014-15 NBA 3.5 (8th)
Active 2.9 (3rd)
Career NBA 2.9 (20th)
Career 2.9 (22nd)
