Offensive Box Plus/Minus
2004-05 NBA 4.8 (10th)
2006-07 NBA 5.4 (8th)
2007-08 NBA 6.1 (4th)
2009-10 NBA 5.6 (3rd)
2010-11 NBA 4.9 (5th)
Active 4.0 (8th)
Career NBA 4.0 (21st)
Career 4.0 (22nd)
