Value Over Replacement Player
2004-05 NBA 5.0 (8th)
2007-08 NBA 5.9 (4th)
2009-10 NBA 4.5 (9th)
2010-11 NBA 4.5 (9th)
Active 46.3 (8th)
Career NBA 46.3 (32nd)
Career 46.3 (34th)
