Player,Sim,1,2,3,4,5,6,7
Jordan Hill,,4.4,3.9,2.2,1.8,1.4,1.4,1.4
Otto Moore,86.9,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Mike Brown,84.9,3.7,3.7,2.4,1.5,1.4,1.0,0.7
Bob Ferry,84.7,4.9,3.9,3.1,2.7,1.4,1.2,1.2
Felton Spencer,81.7,5.6,4.7,2.4,2.0,2.0,1.3,1.1
Dan Gadzuric,80.5,5.2,3.7,2.5,1.8,1.2,0.8,0.1
Duane Causwell,80.0,3.9,2.9,2.8,1.8,1.3,1.2,0.7
Marreese Speights,79.8,4.0,3.8,2.8,2.7,2.1,2.1,1.7
Joe Meriweather,79.5,4.8,3.8,2.6,2.6,2.3,2.2,0.8
Spencer Hawes,78.9,4.5,4.5,2.9,2.4,2.1,0.8,0.6
Dennis Awtrey,78.9,5.2,5.0,3.1,2.1,1.8,1.4,1.0
