Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jordan Hill,,4.4,3.9,2.2,1.8,1.4,1.4,1.4,,,,
Mike Brown,82.0,3.7,3.7,2.4,1.5,1.5,1.4,1.0,0.7,0.2,0.1,-0.4
Dan Gadzuric,81.8,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0,
Jerome Whitehead,81.2,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
Len Elmore,79.8,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,
Jim Davis,79.0,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,
Bob Ferry,78.5,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0,
Nat Clifton,77.4,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,,,
Spencer Hawes,77.0,4.5,4.5,2.9,2.4,2.1,1.9,1.2,0.8,0.6,,
Luc Longley,76.5,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,
Kurt Nimphius,76.1,4.8,3.3,3.1,2.9,1.5,1.0,0.7,0.1,,,
