Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Luc Mbah a Moute,,4.8,4.7,4.0,2.4,1.6,1.1,1.0,0.5,,,
Donald Royal,88.9,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Paul Griffin,88.8,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,,
Luke Jackson,88.4,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,,,
Pat Garrity,86.1,5.1,4.9,2.8,2.5,1.2,1.1,1.1,0.2,0.0,-0.2,
Bill Calhoun,84.5,4.5,4.1,3.9,2.2,2.1,1.4,0.4,,,,
Corey Brewer,84.4,5.2,3.9,3.1,2.3,1.2,1.1,1.0,0.3,-0.2,,
Buck Johnson,83.6,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,,,
Lamond Murray,83.2,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
Brandan Wright,82.8,6.1,5.1,4.1,3.5,1.9,1.1,0.8,0.7,,,
Danny Fortson,82.1,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0.0,
