Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,589,13688,.449,9.5,.875,.475,.092,.069,.239,.125,.467,.583,.298,.301,.349,.320,.697,.044,120,.977,.488,.354,2,0
5 seasons,,MIL,NBA,,335,8408,.460,7.9,.964,.517,.097,.094,.256,.036,.466,.591,.301,.319,.332,.290,.685,.041,70,1.000,.812,.321,1,0
2 seasons,,LAC,NBA,,123,2361,.475,10.1,.745,.495,.082,.020,.148,.255,.509,.573,.361,.111,.431,.375,.832,.066,24,.976,.821,.391,0,0
1 season,,PHI,NBA,,67,1916,.395,14.3,.682,.305,.086,.038,.253,.318,.435,.562,.236,.292,.373,.307,.630,.027,15,.968,.163,.333,1,0
1 season,,MIN,NBA,,55,807,.447,8.3,.913,.578,.068,.025,.242,.087,.469,.570,.455,.000,.282,.214,.667,.056,8,1.000,.786,.273,0,0
1 season,,SAC,NBA,,9,196,.469,7.5,.906,.531,.219,.000,.156,.094,.483,.529,.143,,.800,.333,.857,.156,3,1.000,1.000,.333,0,0
