Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,29,298,,,3%,62%,35%,-2.4,-8.2,3,3,4,23,0,4,0,6,10,1,6
1 season,,PHO,NBA,,16,194,,,5%,90%,5%,+5.2,-0.7,1,2,3,15,0,3,0,2,7,1,4
1 season,,IND,NBA,,11,94,,,,3%,97%,-23.4,-30.8,2,1,1,7,0,1,0,4,2,0,2
1 season,,PHI,NBA,,2,10,,,,83%,17%,+47.4,+58.2,0,0,0,1,0,0,0,0,1,0,0
