Free Throw Pct
2008-09 NBA .893 (6th)
2010-11 NBA .906 (4th)
2011-12 NBA .875 (8th)
2013-14 NBA .885 (5th)
Active .864 (9th)
Career NBA .864 (33rd)
Career .864 (35th)
