Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
D.J. Augustin,,6.2,6.2,5.1,3.4,2.8,2.8,2.6,0.5,,,,
Bonzi Wells,90.1,6.0,5.9,4.0,3.4,3.1,3.1,3.0,0.9,0.1,-0.1,,
Fred Hoiberg,87.1,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0.0,,
Odie Spears,85.8,5.6,5.2,4.7,3.8,3.3,3.1,2.0,,,,,
Darren Collison,85.6,5.9,5.6,5.2,4.3,3.8,3.8,2.9,,,,,
Lester Conner,85.6,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0.0
Dee Brown,85.4,6.8,6.4,6.4,3.5,3.4,2.5,2.4,1.0,0.8,0.3,0.2,-0.3
Bill Keller,84.9,6.1,5.4,4.4,4.1,4.0,3.6,2.7,,,,,
Voshon Lenard,84.6,7.1,6.8,4.0,3.5,3.0,2.4,1.7,0.9,0.3,0.1,-0.1,
Jim Cleamons,84.4,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,,,
Johnny Moore,84.1,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,,,
