Season,Team,Lg,Salary
2005-06,Milwaukee Bucks,NBA,"$4,340,520"
2006-07,Milwaukee Bucks,NBA,"$4,665,960"
2007-08,Milwaukee Bucks,NBA,"$4,991,520"
2008-09,Milwaukee Bucks,NBA,"$6,294,310"
2009-10,Milwaukee Bucks,NBA,"$10,000,000"
2010-11,Milwaukee Bucks,NBA,"$11,000,000"
2011-12,Milwaukee Bucks,NBA,"$12,000,000"
2012-13,Golden State Warriors,NBA,"$13,000,000"
2013-14,Golden State Warriors,NBA,"$14,000,000"
2014-15,Golden State Warriors,NBA,"$12,972,973"
2015-16,Golden State Warriors,NBA,"$12,000,000"
