Blocks Per Game
2007-08 NBA 1.7 (9th)
2009-10 NBA 2.5 (2nd)
2010-11 NBA 2.6 (1st)
2013-14 NBA 1.8 (6th)
Active 1.6 (10th)
Career NBA 1.6 (47th)
Career 1.6 (50th)
