Defensive Box Plus/Minus
2009-10 NBA 4.3 (4th)
2010-11 NBA 5.0 (2nd)
2013-14 NBA 5.6 (1st)
2014-15 NBA 5.5 (1st)
Active 3.5 (2nd)
Career NBA 3.5 (14th)
Career 3.5 (15th)
