Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,MIL,NBA,PF,5,5,34.4,4.0,9.2,.435,0.0,0.0,,4.0,9.2,.435,.435,0.6,1.6,.375,1.8,4.4,6.2,3.4,0.6,0.0,1.6,4.2,8.6
2012-13,28,GSW,NBA,C,12,12,27.3,3.3,5.6,.582,0.0,0.0,,3.3,5.6,.582,.582,0.7,1.9,.348,3.3,7.7,10.9,1.8,0.5,1.5,1.8,3.3,7.2
2014-15,30,GSW,NBA,C,19,18,23.2,2.2,3.9,.560,0.0,0.1,.000,2.2,3.9,.568,.560,0.3,0.7,.385,2.2,5.9,8.1,1.9,0.6,1.8,1.4,3.6,4.7
2015-16,31,GSW,NBA,C,22,22,16.6,2.2,3.5,.623,0.0,0.1,.000,2.2,3.4,.640,.623,0.2,0.6,.357,2.1,3.5,5.7,1.4,0.6,1.6,0.9,3.3,4.6
