Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Andrew Bogut,,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4.0,2.6,1.7,0.5
Sam Lacey,92.0,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.3
Rick Mahorn,89.3,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,1.8,1.3
Theo Ratliff,88.7,6.7,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,0.0
Darryl Dawkins,88.1,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1
Jim Chones,88.0,6.4,6.2,6.0,5.9,5.8,4.7,3.5,3.3,2.6,1.4,
Mychal Thompson,87.4,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6
Mike Gminski,87.4,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,2.9,1.8,1.5
Elden Campbell,87.2,8.2,7.0,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Samuel Dalembert,87.1,6.9,6.9,6.2,5.2,4.1,4.0,3.9,3.6,2.9,2.2,0.3
Caldwell Jones,86.8,8.1,7.6,6.2,5.5,5.2,5.0,4.4,4.1,3.9,3.1,2.5
