Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Andrew Bogut,,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4.0,2.6,1.7,0.5,,,,,
Sam Lacey,91.8,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.6,0.3,-0.1,,,
Jim Chones,88.0,6.4,6.2,6.0,5.9,5.8,4.7,3.5,3.3,2.6,1.4,,,,,,
Darryl Dawkins,87.8,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1,0.1,0.0,-0.2,,
Mike Gminski,86.4,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,2.9,1.8,1.5,0.5,0.5,0.0,,
Samuel Dalembert,85.8,6.9,6.9,6.2,5.2,4.9,4.1,4.0,3.9,3.6,2.9,2.2,0.3,0.3,,,
Theo Ratliff,85.8,6.7,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,1.4,1.4,0.8,0.1,0.0,0.0
Mychal Thompson,85.4,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1,,,,
Mark Eaton,85.2,6.6,5.5,5.4,5.3,4.1,4.0,3.8,3.7,3.6,1.9,0.8,,,,,
Erick Dampier,85.2,8.9,6.4,6.1,6.0,4.8,4.5,4.1,4.0,3.7,1.9,1.5,0.9,0.3,0.1,-0.1,-0.5
Byron Beck,85.1,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,,,,,,
