Defensive Rebound Pct
2010-11 NBA 27.1 (7th)
2013-14 NBA 29.7 (2nd)
2014-15 NBA 26.5 (9th)
Active 25.2 (6th)
Career NBA 25.2 (15th)
Career 25.2 (17th)
