Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,12,294,,98%,2%,,,+4.4,+1.3,3,2,4,11,0,2,0,21,8,2,10
1 season,,LAC,NBA,,12,294,,98%,2%,,,+4.4,+1.3,3,2,4,11,0,2,0,21,8,2,10
