Player,Sim,1,2,3,4,5,6,7,8,9,10
Quinton Ross,,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,,,
Greg Minor,88.2,3.0,2.1,1.7,0.8,0.6,,,,,
Mike Barr,85.1,2.7,1.7,1.4,0.7,0.4,,,,,
Alec Burks,83.6,3.2,1.7,1.5,1.5,1.0,,,,,
Al Ferrari,83.3,3.3,1.9,1.4,1.4,0.9,0.0,,,,
Tyus Edney,83.3,3.3,1.5,1.4,0.5,,,,,,
Bucky Bockhorn,82.1,3.1,1.5,1.3,1.1,0.5,0.3,0.1,,,
Ronald Murray,80.9,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,,
Anthony Goldwire,80.5,3.0,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1,,
Alan Anderson,79.8,2.7,1.7,1.6,0.4,0.3,0.3,0.1,,,
Ennis Whatley,79.2,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
