Player,Sim,1,2,3,4
Samardo Samuels,,0.7,0.0,-0.1,
Linton Townes,93.9,0.7,0.0,-0.1,
Joby Wright,92.3,0.6,0.0,-0.1,
Alton Ford,74.2,0.8,0.1,-0.1,
Brian Quinnett,69.3,0.8,0.1,-0.1,
Marcus Haislip,54.0,0.6,0.1,0.0,-0.2
Amal McCaskill,49.5,0.6,0.0,0.0,-0.2
Pape Sow,47.8,0.6,0.2,0.1,
Scott Roth,46.6,0.7,0.3,0.1,
Ken Durrett,46.6,0.5,0.1,0.0,0.0
Anthony Frederick,45.6,0.5,0.2,0.0,
