Player,Sim,1,2,3,4,5,6,7,8
Zeljko Rebraca,,3.3,2.4,1.3,0.7,0.5,,,
Cole Aldrich,91.0,3.5,2.2,1.2,0.6,0.6,0.2,,
Stanley Roberts,88.0,3.2,2.1,1.8,0.7,0.5,0.0,-0.1,-0.1
Travis Knight,81.4,3.3,3.0,1.1,0.6,0.2,-0.1,-0.3,
Alexis Ajinca,79.1,3.2,2.1,1.0,0.4,0.0,-0.1,,
Reggie Harding,78.3,3.1,2.6,1.6,0.0,,,,
Meyers Leonard,76.0,2.8,2.4,2.2,0.6,,,,
Bob Hopkins,75.8,3.5,2.7,1.9,1.4,,,,
Gene Wiley,75.6,2.8,2.4,1.8,1.3,-0.1,,,
Jake Tsakalidis,74.2,2.8,2.8,1.3,1.2,0.9,0.6,0.3,
Victor Alexander,73.4,3.0,2.5,2.3,1.1,-0.1,,,
