Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,29,DET,NBA,C,5,0,13.8,1.0,2.2,.455,0.0,0.0,,1.0,2.2,.455,.455,2.2,2.8,.786,0.8,1.2,2.0,0.0,0.2,0.2,0.8,2.8,4.2
2002-03,30,DET,NBA,C,4,0,7.3,1.5,4.3,.353,0.0,0.0,,1.5,4.3,.353,.353,1.3,1.8,.714,0.5,0.8,1.3,0.0,0.0,0.0,0.3,2.3,4.3
2005-06,33,LAC,NBA,C,3,0,7.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.3,1.0,1.3,0.0,0.0,0.3,0.7,2.0,0.7
