Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Raymond Felton,,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2
Guy Rodgers,92.1,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,-0.2
Greg Anthony,89.3,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1
Luke Ridnour,88.7,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9,0.1
Jarrett Jack,88.2,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Ricky Sobers,88.1,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1
Adrian Smith,88.0,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5
Thabo Sefolosha,88.0,6.8,4.5,4.1,4.0,3.0,2.5,2.2,1.8,1.5,0.8,
Foots Walker,87.4,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,
Chris Ford,87.3,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,
Gerald Wilkins,87.0,6.8,4.4,4.3,4.0,3.5,3.4,3.3,3.0,2.1,0.7,-0.2
