Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Erick Dampier,,8.9,6.4,6.1,6.0,4.8,4.5,4.1,4.0,3.7,1.9,1.5,0.9,0.3,0.1,-0.1,-0.5
Mike Gminski,91.0,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,2.9,1.8,1.5,0.5,0.5,0.0,,
Samuel Dalembert,87.5,6.9,6.9,6.2,5.2,4.9,4.1,4.0,3.9,3.6,2.9,2.2,0.3,0.3,,,
Darryl Dawkins,87.4,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1,0.1,0.0,-0.2,,
Tree Rollins,87.1,9.2,7.3,6.4,6.4,5.5,5.0,4.9,4.1,3.8,3.4,2.6,1.7,1.0,0.7,0.2,0.1
Rik Smits,85.9,7.8,7.2,6.6,6.1,5.0,4.3,3.8,3.4,3.4,3.3,2.9,2.7,,,,
Mychal Thompson,85.6,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1,,,,
Sam Lacey,85.4,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.6,0.3,-0.1,,,
Andrew Bogut,85.2,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4.0,2.6,1.7,0.5,,,,,
Elden Campbell,84.7,8.2,7.6,7.0,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,2.1,2.0,1.1,0.0,
Rick Mahorn,84.4,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.5,0.3,0.1
