Offensive Rebound Pct
2002-03 NBA 13.5 (2nd)
2003-04 NBA 16.1 (1st)
2004-05 NBA 13.0 (8th)
2005-06 NBA 17.3 (1st)
2006-07 NBA 14.0 (3rd)
2007-08 NBA 14.1 (2nd)
2008-09 NBA 13.6 (4th)
Career NBA 12.8 (12th)
Career 12.8 (12th)
