Player,Sim,1,2,3
Tony Snell,,2.4,1.6,0.4
Larry Hughes,93.0,2.4,1.7,0.6
J.J. Redick,92.4,2.3,1.7,0.5
Jerryd Bayless,90.6,2.7,1.6,0.3
Frank Kudelka,88.4,2.4,1.7,
Jim Cleamons,88.0,2.6,1.7,0.1
Maurice McHartley,87.7,2.4,1.8,0.8
Steve Bracey,87.1,2.1,1.5,0.3
Kenny Rollins,86.0,2.6,1.5,0.1
John Battle,85.9,2.3,1.5,1.0
Shaun Livingston,85.8,2.4,1.3,0.1
