Player,Sim,1,2,3,4,5,6,7,8
Derrick Williams,,3.6,3.0,2.6,2.1,1.8,,,
Lavoy Allen,91.5,3.7,2.8,2.5,1.6,1.5,,,
Scott Padgett,91.3,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Aaron James,90.0,4.3,2.9,2.2,2.1,1.7,,,
Don Ford,89.9,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,
E.C. Coleman,89.4,3.2,2.7,2.6,2.5,1.7,0.1,,
Lawrence Funderburke,89.0,3.7,3.1,2.1,1.9,1.6,0.5,0.1,
Lew Hitch,87.2,3.3,2.7,2.2,2.2,1.2,,,
Chuck Cooper,87.1,3.3,3.1,2.4,1.7,1.1,0.0,,
Nick Weatherspoon,86.0,3.7,3.6,2.6,2.4,2.1,0.6,0.1,
Edgar Jones,85.5,3.4,3.4,2.6,2.4,2.3,0.9,,
