Player,Sim,1,2,3,4,5,6
Shane Larkin,,1.7,1.4,-0.1,,,
Billy Shepherd,90.3,1.7,1.3,-0.3,,,
Fred LaCour,89.5,1.7,1.7,-0.1,,,
Isaiah Canaan,81.7,1.4,1.4,0.2,,,
Ollie Mack,79.5,1.6,1.0,-0.1,,,
Richie Regan,79.3,1.6,1.5,0.4,,,
Steve Bracey,75.2,2.1,1.5,0.3,,,
Lloyd Daniels,74.5,1.8,1.1,0.2,0.1,0.0,
Bryce Drew,74.2,1.7,1.3,0.0,-0.1,-0.2,-0.4
Sidney Lowe,73.8,1.7,1.5,0.5,0.3,,
Rod Foster,71.3,1.6,0.9,-0.3,,,
