Player,Sim,1,2,3,4,5,6,7,8,9,10
Dan Gadzuric,,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0
Jerome Whitehead,88.9,5.3,3.6,2.1,1.6,1.5,1.2,0.3,0.2,0.2,0.1
Rick Robey,84.7,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,,
Zaid Abdul-Aziz,82.0,6.5,3.7,2.0,1.9,1.8,1.0,0.6,0.3,0.1,-0.3
Jordan Hill,81.8,4.4,3.9,2.2,1.8,1.4,1.4,1.4,,,
Kurt Nimphius,80.5,4.8,3.3,3.1,2.9,1.5,1.0,0.7,0.1,,
Lee Davis,80.2,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,,
Mikki Moore,78.8,5.7,4.6,2.8,2.6,2.2,1.0,0.6,0.1,0.1,0.1
Marc Jackson,78.3,4.6,2.6,2.0,1.3,1.2,0.7,0.6,,,
Chris Mihm,77.8,4.0,3.6,2.9,1.3,0.9,0.7,0.1,0.0,,
Melvin Turpin,77.0,6.0,3.1,2.1,1.8,0.8,,,,,
