Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kemba Walker,,9.9,5.1,4.8,4.5,0.3,,,,,,
Al Cervi,84.2,9.3,5.3,5.3,2.1,,,,,,,
John Logan,80.8,9.2,8.3,5.2,4.3,1.0,,,,,,
Jeff McInnis,78.5,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
Josh Childress,77.6,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0.0,,,
Kyrie Irving,77.3,10.4,6.7,5.3,5.0,4.1,,,,,,
Micheal Williams,76.1,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2,
Reggie Jackson,75.1,6.9,4.9,4.9,2.5,0.1,,,,,,
Derrick Rose,74.3,13.1,6.0,6.0,4.9,1.2,0.4,-0.2,,,,
Gene Littles,73.8,7.7,4.8,4.2,3.6,1.6,1.4,,,,,
Dick Garmaker,73.5,7.5,4.7,4.6,4.4,3.1,1.3,,,,,
