Player,Sim,1,2,3,4,5,6,7,8,9
Greivis Vasquez,,3.8,3.6,2.8,2.3,0.5,-0.3,,,
Bradley Beal,86.7,4.0,3.7,3.0,2.7,,,,,
Otis Smith,86.7,3.6,3.5,3.3,2.5,-0.2,-0.4,,,
Eric Money,85.3,4.2,3.6,3.3,2.7,0.6,0.3,,,
Joe Hamilton,85.0,4.1,2.9,2.9,2.2,0.2,0.2,,,
Whitey Skoog,84.1,4.1,3.6,2.9,1.9,1.0,0.7,,,
Bill Gabor,83.5,3.5,2.9,2.8,1.5,0.5,0.0,,,
Skeeter Swift,83.3,4.3,3.4,2.7,1.8,0.0,,,,
Charlie Bell,82.0,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,
Bob Harrison,81.4,3.5,3.3,2.9,2.2,0.9,0.9,0.0,-0.4,
Devin Brown,80.9,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,
