Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Greg Ostertag,,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,,,
Benoit Benjamin,88.5,5.4,5.1,4.1,4.0,3.0,2.3,2.2,2.2,2.0,1.1,0.9,0.4,0.0,0.0,-0.1,
Alton Lister,88.2,5.5,5.3,4.1,4.1,4.0,3.8,3.7,1.9,1.7,1.0,0.9,0.4,0.3,0.1,0.0,-0.2
LaSalle Thompson,87.5,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2,0.9,0.2,0.1,0.0,-0.3,
Kent Benson,87.4,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,,,,
Ervin Johnson,87.4,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0,,,
Tony Battie,86.0,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2.0,0.6,0.5,0.5,0.0,,
Andrew Lang,85.2,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,,,
Dave Corzine,85.0,5.2,5.1,4.9,4.7,4.2,4.0,2.9,2.9,1.4,1.1,0.9,0.4,-0.2,,,
Rasho Nesterovic,84.4,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3.0,2.2,1.5,0.8,0.0,,,,
George Johnson,84.0,5.0,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2.0,1.3,1.0,0.6,0.3,,,
