Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,89,37,1768,4.3,9.4,.465,0.0,0.0,,4.3,9.4,.465,2.9,5.1,.573,5.6,9.4,15.1,1.0,0.9,5.2,2.1,7.7,11.6,,104,100
8 seasons,,UTA,NBA,,87,37,1742,4.3,9.4,.459,0.0,0.0,,4.3,9.4,.459,3.0,5.2,.573,5.6,9.4,15.0,1.0,0.9,5.2,2.1,7.7,11.6,,104,100
1 season,,SAC,NBA,,2,0,26,6.1,6.1,1.000,0.0,0.0,,6.1,6.1,1.000,0.0,0.0,,8.2,10.2,18.4,0.0,2.0,4.1,4.1,8.2,12.2,,124,110
