Player,Sim,1,2,3,4,5
Xavier Henry,,0.3,0.2,0.2,0.0,-0.1
Jorge Gutierrez,86.2,0.3,0.3,0.2,,
Drew Barry,68.4,0.3,0.2,0.1,,
Rusty LaRue,67.9,0.3,0.3,0.1,-0.1,-0.1
Milt Williams,62.6,0.4,0.2,0.1,0.1,
Lance Blanks,62.0,0.4,0.2,0.1,,
Corey Gaines,61.5,0.6,0.3,0.2,0.1,-0.1
Kennard Winchester,57.3,0.5,0.4,0.3,,
Elliot Williams,56.5,0.3,0.3,0.1,0.0,
Anthony Roberson,52.3,0.2,0.2,0.1,,
Randy Woods,51.5,0.3,0.2,0.1,0.1,
