Player,Sim,1,2,3,4,5,6,7,8,9
Tyler Zeller,,6.5,2.6,2.0,1.7,,,,,
Neil Johnson,90.9,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3,,
Jae Crowder,81.8,7.3,3.9,2.3,1.5,,,,,
Larry Krystkowiak,80.5,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1
Monk Meineke,80.3,6.1,3.7,2.6,1.8,0.7,,,,
Terrence Jones,79.8,7.3,3.0,1.5,0.7,,,,,
Jim Baechtold,79.5,6.0,3.2,2.6,2.1,0.9,,,,
Markieff Morris,78.9,6.4,4.6,1.7,1.5,0.5,,,,
Walt Budko,77.4,5.6,4.0,2.7,1.5,,,,,
Don May,76.5,6.1,2.9,1.3,0.5,0.3,0.2,0.0,,
Fabricio Oberto,75.1,6.1,4.1,1.7,1.1,0.6,0.0,,,
