Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Bruce Bowen,,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0.0,0.0
Junior Bridgeman,91.7,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,
Terry Tyler,90.9,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,,
John Salley,89.7,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,,
Kenyon Martin,89.3,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,0.9,0.0
Larry Smith,89.1,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,1.2,1.2,0.3
Rod Higgins,88.6,5.9,5.7,5.3,5.0,3.8,3.7,2.5,2.0,1.4,1.3,1.0,0.1,0.0
Cliff Levingston,88.6,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,
Thurl Bailey,88.4,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,
Jim Washington,87.8,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0,,
Chris Andersen,87.6,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.1,0.3,0.0
