Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
DeMarcus Cousins,,7.9,6.0,5.7,4.4,4.2,1.1,,,,,,
Steve Stipanovich,86.0,9.0,6.9,5.9,5.0,3.6,,,,,,,
Stan Miasek,83.6,10.3,5.8,5.5,4.1,3.5,2.1,,,,,,
George Ratkovicz,83.5,9.3,6.0,5.4,5.2,2.8,-0.1,,,,,,
Gene Moore,83.4,6.8,5.7,5.0,4.5,1.9,0.8,0.0,,,,,
Elmore Smith,83.3,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,,
Nikola Vucevic,81.9,7.0,5.7,5.2,4.4,1.8,,,,,,,
Darrall Imhoff,79.6,8.2,5.9,5.0,4.9,2.4,2.1,0.9,0.7,0.7,0.0,-0.2,-0.6
Robin Lopez,79.4,9.5,5.8,5.6,5.1,3.2,2.1,1.5,1.1,,,,
Neal Walk,78.7,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,,,,
Andrew Bynum,77.7,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1,,,,
