Rebounds Per Game
2011-12 NBA 11.0 (4th)
2012-13 NBA 9.9 (9th)
2013-14 NBA 11.7 (5th)
2014-15 NBA 12.7 (3rd)
2015-16 NBA 11.5 (5th)
Active 10.8 (3rd)
Career NBA 10.8 (30th)
Career 10.8 (38th)
