Points Per Game
2013-14 NBA 22.7 (9th)
2014-15 NBA 24.1 (5th)
2015-16 NBA 26.9 (4th)
2016-17 NBA 28.1 (4th)
Active 21.0 (10th)
Career NBA 21.0 (39th)
Career 21.0 (41st)
