Season,Team,Lg,Salary
2010-11,Sacramento Kings,NBA,"$3,374,640"
2011-12,Sacramento Kings,NBA,"$3,627,720"
2012-13,Sacramento Kings,NBA,"$3,880,800"
2013-14,Sacramento Kings,NBA,"$4,916,974"
2014-15,Sacramento Kings,NBA,"$13,701,250"
2015-16,Sacramento Kings,NBA,"$14,728,844"
