Defensive Rebound Pct
2011-12 NBA 25.9 (6th)
2012-13 NBA 27.0 (8th)
2013-14 NBA 30.5 (1st)
2014-15 NBA 30.6 (2nd)
2015-16 NBA 28.2 (9th)
