Steals Per Game
2009-10 NBA 1.9 (3rd)
2014-15 NBA 2.0 (4th)
2015-16 NBA 2.1 (1st)
Active 1.8 (3rd)
Career NBA 1.8 (34th)
Career 1.8 (36th)
